transaction_id,transaction_date,transaction_time,store_code,store_name,city,state,country,item_name,category,subcategory,size,quantity,unit_price,line_total,customer_name,loyalty_tier
10001,2024-01-01,08:15,ST006,Bondi,Sydney,NSW,Australia,Veggie Wrap,Sandwich,Cold,regular,2,8.0,16.0,Noah Brown,Gold
10002,2024-01-01,07:00,ST004,George St,Sydney,NSW,Australia,Long Black,Coffee,Black Coffee,regular,1,4.2,4.2,Emma Smith,Gold
10002,2024-01-01,07:00,ST004,George St,Sydney,NSW,Australia,Croissant,Pastry,Baked,regular,2,4.5,9.0,Emma Smith,Gold
10003,2024-01-01,08:30,ST007,Queen St Mall,Brisbane,QLD,Australia,Flat White Large,Coffee,Milk Coffee,large,1,5.5,5.5,,
10003,2024-01-01,08:30,ST007,Queen St Mall,Brisbane,QLD,Australia,Cappuccino,Coffee,Milk Coffee,regular,1,4.8,4.8,,
10004,2024-01-02,12:45,ST012,Norwood,Adelaide,SA,Australia,Blueberry Muffin,Pastry,Muffin,regular,2,4.8,9.6,Henry Garcia,Gold
10005,2024-01-02,08:30,ST012,Norwood,Adelaide,SA,Australia,Almond Croissant,Pastry,Baked,regular,1,5.5,5.5,Noah Brown,Gold
10005,2024-01-02,08:30,ST012,Norwood,Adelaide,SA,Australia,Ham & Cheese Toastie,Sandwich,Hot,regular,2,8.5,17.0,Noah Brown,Gold
10006,2024-01-03,13:00,ST008,West End,Brisbane,QLD,Australia,Almond Croissant,Pastry,Baked,regular,1,5.5,5.5,,
10006,2024-01-03,13:00,ST008,West End,Brisbane,QLD,Australia,Matcha Latte,Tea,Specialty Tea,regular,1,5.8,5.8,,
10007,2024-01-03,11:15,ST010,Adelaide Central,Adelaide,SA,Australia,Matcha Latte,Tea,Specialty Tea,regular,2,5.8,11.6,Charlotte Jackson,Gold
10007,2024-01-03,11:15,ST010,Adelaide Central,Adelaide,SA,Australia,Latte Large,Coffee,Milk Coffee,large,1,5.5,5.5,Charlotte Jackson,Gold
10008,2024-01-03,13:30,ST008,West End,Brisbane,QLD,Australia,Sparkling Water,Beverage,Water,bottle,2,3.5,7.0,Ethan White,Silver
10009,2024-01-04,07:45,ST008,West End,Brisbane,QLD,Australia,Latte,Coffee,Milk Coffee,regular,1,4.8,4.8,Grace Lewis,Gold
10010,2024-01-04,18:45,ST008,West End,Brisbane,QLD,Australia,Flat White,Coffee,Milk Coffee,regular,2,4.8,9.6,Liam Johnson,Silver
10010,2024-01-04,18:45,ST008,West End,Brisbane,QLD,Australia,Almond Croissant,Pastry,Baked,regular,1,5.5,5.5,Liam Johnson,Silver
10011,2024-01-04,07:45,ST004,George St,Sydney,NSW,Australia,Long Black,Coffee,Black Coffee,regular,2,4.2,8.4,,
10012,2024-01-04,08:15,ST003,Fitzroy,Melbourne,VIC,Australia,Flat White,Coffee,Milk Coffee,regular,1,4.8,4.8,Olivia Williams,Bronze
10013,2024-01-05,11:45,ST011,Glenelg,Adelaide,SA,Australia,Cold Brew,Coffee,Cold Coffee,large,1,5.8,5.8,Ella Robinson,Silver
10013,2024-01-05,11:45,ST011,Glenelg,Adelaide,SA,Australia,Long Black,Coffee,Black Coffee,regular,1,4.2,4.2,Ella Robinson,Silver
10014,2024-01-05,10:45,ST002,Southbank,Melbourne,VIC,Australia,Cappuccino,Coffee,Milk Coffee,regular,1,4.8,4.8,,
10015,2024-01-06,06:15,ST002,Southbank,Melbourne,VIC,Australia,Double Espresso,Coffee,Espresso,double,1,4.5,4.5,,
10015,2024-01-06,06:15,ST002,Southbank,Melbourne,VIC,Australia,Flat White Large,Coffee,Milk Coffee,large,1,5.5,5.5,,
10016,2024-01-06,19:45,ST002,Southbank,Melbourne,VIC,Australia,Long Black,Coffee,Black Coffee,regular,2,4.2,8.4,,
10016,2024-01-06,19:45,ST002,Southbank,Melbourne,VIC,Australia,Almond Croissant,Pastry,Baked,regular,1,5.5,5.5,,
10016,2024-01-06,19:45,ST002,Southbank,Melbourne,VIC,Australia,Latte Large,Coffee,Milk Coffee,large,1,5.5,5.5,,
10017,2024-01-06,16:00,ST005,Surry Hills,Sydney,NSW,Australia,Flat White,Coffee,Milk Coffee,regular,1,4.8,4.8,Isabella Anderson,Silver
10018,2024-01-06,14:45,ST006,Bondi,Sydney,NSW,Australia,Long Black,Coffee,Black Coffee,regular,1,4.2,4.2,Zoe Allen,Gold
10019,2024-01-06,09:30,ST005,Surry Hills,Sydney,NSW,Australia,Flat White,Coffee,Milk Coffee,regular,1,4.8,4.8,Mia Moore,Bronze
